BT20-014: 5 state/assertion failures; 5 failures total; restored
BT20-015: 4 state/assertion failures; 5 failures total; restored
BT20-016: 5 state/assertion failures; 6 failures total; restored
BT20-017: 2 state/assertion failures; 4 failures total; restored
BT20-018: 5 state/assertion failures; 6 failures total; restored
BT20-019: 8 state/assertion failures; 8 failures total; restored
BT20-020: 4 state/assertion failures; 4 failures total; restored
BT20-021: 6 state/assertion failures; 9 failures total; restored
BT20-022: 2 state/assertion failures; 2 failures total; restored
BT20-023: 3 state/assertion failures; 3 failures total; restored
BT20-024: 8 state/assertion failures; 8 failures total; restored
BT20-025: 4 state/assertion failures; 4 failures total; restored
BT20-026: 8 state/assertion failures; 8 failures total; restored
