BT20-028: 5 state/assertion failures; 5 failures total; restored
BT20-029: 5 state/assertion failures; 5 failures total; restored
BT20-030: 5 state/assertion failures; 5 failures total; restored
BT20-031: 4 state/assertion failures; 4 failures total; restored
BT20-032: 5 state/assertion failures; 5 failures total; restored
BT20-033: 6 state/assertion failures; 6 failures total; restored
BT20-034: 4 state/assertion failures; 4 failures total; restored
BT20-035: 7 state/assertion failures; 7 failures total; restored
BT20-036: 7 state/assertion failures; 7 failures total; restored
BT20-037: 9 state/assertion failures; 10 failures total; restored
BT20-038: 2 state/assertion failures; 2 failures total; restored
BT20-039: 1 state/assertion failures; 1 failures total; restored
BT20-040: 2 state/assertion failures; 2 failures total; restored
BT20-041: 3 state/assertion failures; 3 failures total; restored
BT20-042: 1 state/assertion failures; 2 failures total; restored
BT20-043: 4 state/assertion failures; 4 failures total; restored
